item,count,ratio,464407
seed,1313,0.002827261,
ham,1291,0.002779889,
mozzarella_cheese,1290,0.002777736,
oat,1267,0.00272821,
turmeric,1233,0.002654999,
nut,1219,0.002624853,
shallot,1187,0.002555948,
lettuce,1152,0.002480583,
cider,1120,0.002411678,
dill,1108,0.002385838,
pea,1099,0.002366459,
zucchini,1093,0.002353539,
cherry,1084,0.002334159,
lime,1083,0.002332006,
strawberry,1078,0.00232124,
yogurt,1044,0.002248028,
soybean,1034,0.002226495,
peanut_butter,995,0.002142517,
celery_oil,994,0.002140364,
banana,984,0.002118831,
meat,970,0.002088685,
tabasco_pepper,965,0.002077919,
milk_fat,947,0.00203916,
cabbage,938,0.00201978,
mint,932,0.00200686,
cranberry,916,0.001972408,
fennel,907,0.001953028,
sage,903,0.001944415,
broccoli,901,0.001940109,
turkey,893,0.001922882,
wine,877,0.00188843,
fenugreek,871,0.00187551,
beef_broth,835,0.001797992,
grape_juice,811,0.001746313,
pumpkin,803,0.001729087,
raspberry,784,0.001688174,
whole_grain_wheat_flour,732,0.001576204,
coffee,716,0.001541751,
lemon_peel,715,0.001539598,
sesame_seed,655,0.001410401,
avocado,649,0.001397481,
sherry,630,0.001356569,
sake,624,0.001343649,
feta_cheese,621,0.001337189,
apricot,620,0.001335036,
rum,602,0.001296277,
roasted_sesame_seed,593,0.001276897,
orange_peel,572,0.001231678,
squash,558,0.001201532,
crab,550,0.001184306,
marjoram,528,0.001136934,
peach,528,0.001136934,
swiss_cheese,522,0.001124014,
sweet_potato,518,0.001115401,
shiitake,511,0.001100328,
radish,509,0.001096021,
fruit,481,0.001035729,
tarragon,476,0.001024963,
black_bean,474,0.001020656,
lamb,472,0.00101635,
maple_syrup,471,0.001014197,
pear,468,0.001007737,
blueberry,465,0.001001277,
clam,461,0.000992664,
smoke,456,0.000981897,
peanut,453,0.000975437,
tuna,443,0.000953905,
kidney_bean,442,0.000951751,
asparagus,438,0.000943138,
salmon,434,0.000934525,
leek,411,0.000885,
chickpea,404,0.000869927,
brandy,395,0.000850547,
blue_cheese,395,0.000850547,
artichoke,391,0.000841934,
mango,388,0.000835474,
horseradish,387,0.000833321,
date,375,0.000807481,
white_bread,370,0.000796715,
cardamom,368,0.000792408,
oyster,356,0.000766569,
cottage_cheese,348,0.000749343,
grape,345,0.000742883,
brown_rice,337,0.000725657,
cauliflower,325,0.000699817,
cured_pork,314,0.000676131,
egg_noodle,308,0.000663211,
beer,303,0.000652445,
hazelnut,288,0.000620146,
mandarin,278,0.000598613,
plum,277,0.00059646,
romano_cheese,275,0.000592153,
pimento,270,0.000581387,
smoked_sausage,268,0.00057708,
scallop,268,0.00057708,
goat_cheese,259,0.0005577,
lentil,250,0.000538321,
currant,241,0.000518941,
saffron,236,0.000508175,
beet,232,0.000499562,
barley,232,0.000499562,
caraway,230,0.000495255,
squid,228,0.000490949,
corn_flake,225,0.000484489,
anise,223,0.000480182,
roasted_beef,222,0.000478029,
pistachio,219,0.000471569,
peanut_oil,210,0.00045219,
cereal,204,0.00043927,
cashew,199,0.000428503,
veal,198,0.00042635,
seaweed,188,0.000404817,
sauerkraut,184,0.000396204,
turnip,183,0.000394051,
berry,182,0.000391898,
kelp,178,0.000383284,
tomato_juice,176,0.000378978,
cod,174,0.000374671,
blackberry,169,0.000363905,
rhubarb,169,0.000363905,
provolone_cheese,167,0.000359598,
roasted_peanut,165,0.000355292,
citrus,163,0.000350985,
mussel,163,0.000350985,
corn_grit,162,0.000348832,
chinese_cabbage,161,0.000346679,
melon,157,0.000338066,
bourbon_whiskey,156,0.000335912,
chicory,153,0.000329452,
lima_bean,149,0.000320839,
whiskey,148,0.000318686,
tequila,142,0.000305766,
lovage,142,0.000305766,
peppermint,142,0.000305766,
parsnip,139,0.000299306,
fig,139,0.000299306,
lemongrass,137,0.000295,
watercress,132,0.000284233,
rye_flour,130,0.000279927,
savory,127,0.000273467,
lobster,126,0.000271314,
roasted_pork,125,0.00026916,
grapefruit,117,0.000251934,
mace,115,0.000247628,
endive,114,0.000245474,
brassica,109,0.000234708,
watermelon,108,0.000232555,
porcini,106,0.000228248,
enokidake,106,0.000228248,
kiwi,105,0.000226095,
wasabi,103,0.000221788,
macadamia_nut,102,0.000219635,
tea,101,0.000217482,
lime_peel_oil,100,0.000215328,
okra,100,0.000215328,
champagne_wine,99,0.000213175,
popcorn,97,0.000208869,
smoked_salmon,97,0.000208869,
kale,96,0.000206715,
rye_bread,91,0.000195949,
brussels_sprout,91,0.000195949,
star_anise,91,0.000195949,
thai_pepper,87,0.000187336,
yam,84,0.000180876,
anise_seed,84,0.000180876,
wheat_bread,83,0.000178723,
bitter_orange,83,0.000178723,
root,74,0.000159343,
buckwheat,69,0.000148577,
gin,68,0.000146423,
catfish,68,0.000146423,
nira,66,0.000142117,
cognac,66,0.000142117,
potato_chip,65,0.000139963,
rose,63,0.000135657,
lavender,62,0.000133504,
oatmeal,60,0.000129197,
red_kidney_bean,59,0.000127044,
matsutake,56,0.000120584,
chervil,52,0.000111971,
truffle,52,0.000111971,
chicken_liver,51,0.000109817,
nectarine,50,0.000107664,
bone_oil,49,0.000105511,
katsuobushi,49,0.000105511,
port_wine,49,0.000105511,
sour_cherry,48,0.000103358,
papaya,46,9.9051E-05,
sour_milk,46,9.9051E-05,
octopus,45,9.68978E-05,
tangerine,44,9.47445E-05,
mackerel,44,9.47445E-05,
gruyere_cheese,44,9.47445E-05,
liver,41,8.82846E-05,
palm,38,8.18248E-05,
black_tea,38,8.18248E-05,
malt,37,7.96715E-05,
apple_brandy,37,7.96715E-05,
frankfurter,37,7.96715E-05,
cacao,35,7.53649E-05,
galanga,34,7.32116E-05,
cherry_brandy,34,7.32116E-05,
rutabaga,34,7.32116E-05,
juniper_berry,33,7.10584E-05,
red_bean,33,7.10584E-05,
wood,33,7.10584E-05,
green_tea,32,6.89051E-05,
haddock,31,6.67518E-05,
flower,30,6.45985E-05,
black_mustard_seed_oil,28,6.02919E-05,
quince,28,6.02919E-05,
kumquat,28,6.02919E-05,
shellfish,27,5.81387E-05,
munster_cheese,27,5.81387E-05,
caviar,26,5.59854E-05,
black_sesame_seed,26,5.59854E-05,
prawn,26,5.59854E-05,
chayote,26,5.59854E-05,
roquefort_cheese,23,4.95255E-05,
bartlett_pear,23,4.95255E-05,
cassava,22,4.73722E-05,
passion_fruit,20,4.30657E-05,
prickly_pear,20,4.30657E-05,
eel,20,4.30657E-05,
licorice,20,4.30657E-05,
mung_bean,19,4.09124E-05,
sassafras,18,3.87591E-05,
orange_flower,18,3.87591E-05,
coconut_oil,17,3.66058E-05,
cabernet_sauvignon_wine,17,3.66058E-05,
roasted_meat,15,3.22993E-05,
sumac,14,3.0146E-05,
salmon_roe,13,2.79927E-05,
japanese_plum,13,2.79927E-05,
guava,13,2.79927E-05,
artemisia,13,2.79927E-05,
concord_grape,12,2.58394E-05,
camembert_cheese,12,2.58394E-05,
pear_brandy,11,2.36861E-05,
armagnac,11,2.36861E-05,
black_currant,11,2.36861E-05,
herring,10,2.15328E-05,
clove,10,2.15328E-05,
huckleberry,10,2.15328E-05,
mandarin_peel,10,2.15328E-05,
beef_liver,10,2.15328E-05,
litchi,9,1.93796E-05,
lingonberry,9,1.93796E-05,
condiment,9,1.93796E-05,
peppermint_oil,9,1.93796E-05,
leaf,9,1.93796E-05,
baked_potato,9,1.93796E-05,
gardenia,9,1.93796E-05,
ouzo,9,1.93796E-05,
grape_brandy,8,1.72263E-05,
black_raspberry,8,1.72263E-05,
sunflower_oil,8,1.72263E-05,
bergamot,7,1.5073E-05,
carob,7,1.5073E-05,
jasmine,7,1.5073E-05,
violet,6,1.29197E-05,
kohlrabi,6,1.29197E-05,
smoked_fish,6,1.29197E-05,
spearmint,5,1.07664E-05,
elderberry,5,1.07664E-05,
pork_liver,5,1.07664E-05,
sea_algae,4,8.61313E-06,
blackberry_brandy,4,8.61313E-06,
citrus_peel,4,8.61313E-06,
carnation,3,6.45985E-06,
rapeseed,3,6.45985E-06,
hop,3,6.45985E-06,
roasted_almond,3,6.45985E-06,
mutton,3,6.45985E-06,
balm,3,6.45985E-06,
chamomile,3,6.45985E-06,
strawberry_juice,2,4.30657E-06,
pimenta,2,4.30657E-06,
raw_beef,2,4.30657E-06,
sheep_cheese,2,4.30657E-06,
red_algae,2,4.30657E-06,
holy_basil,2,4.30657E-06,
soybean_oil,2,4.30657E-06,
laurel,2,4.30657E-06,
angelica,1,2.15328E-06,
mate,1,2.15328E-06,
emmental_cheese,1,2.15328E-06,
sturgeon_caviar,1,2.15328E-06,
roasted_hazelnut,1,2.15328E-06,
geranium,1,2.15328E-06,
roasted_pecan,1,2.15328E-06,
strawberry_jam,1,2.15328E-06,
jasmine_tea,1,2.15328E-06,
lilac_flower_oil,1,2.15328E-06,
jamaican_rum,1,2.15328E-06,
muscat_grape,1,2.15328E-06,
durian,1,2.15328E-06,
roasted_nut,1,2.15328E-06,
pelargonium,1,2.15328E-06,
beech,1,2.15328E-06,
